"ceremony_number","category","gender","name","winner","oscar_id","imdb_title_id"
1,"WRITING ","M","Alfred Cohn",False,1,18014
1,"WRITING ","M","Alfred Cohn",False,2,18014
1,"WRITING ","M","Alfred Cohn",False,3,18014
1,"BEST ACTRESS","F","Janet Gaynor",True,4,18311
1,"WRITING ","M","Benjamin Glazer",True,5,18311
1,"BEST PICTURE","M","Fox",False,6,18311
1,"DIRECTING ","M","Frank Borzage",True,7,18311
1,"PRODUCTION DESIGN","M","Harry Oliver",False,8,18311
1,"DIRECTING ","M","Lewis Milestone",True,9,18484
1,"WRITING ","M","Ben Hecht",True,10,18513
1,"WRITING ","M","Ben Hecht",True,11,18513
1,"WRITING ","M","Ben Hecht",True,12,18513
1,"WRITING ","M","Ben Hecht",True,13,18513
1,"ENGINEERING EFFECTS","M","Roy Pomeroy",True,14,18526
1,"BEST PICTURE","M","Paramount Famous Lasky",True,15,18526
2,"CINEMATOGRAPHY","M","George Barnes",False,16,19152
2,"WRITING ","F","Josephine Lovett",False,17,19152
2,"PRODUCTION DESIGN","M","Harry Oliver",False,18,19400
2,"CINEMATOGRAPHY","M","Clyde De Vinna",True,19,19557
3,"BEST ACTOR","M","Ronald Colman",False,20,19702
3,"PRODUCTION DESIGN","M","(William Cameron Menzies)",False,21,19702
3,"WRITING ","M","(Julian Josephson)",False,22,19796
3,"BEST ACTOR","M","George Arliss",True,23,19796
3,"BEST PICTURE","M","Warner Bros.",False,24,19796
2,"DIRECTING","M","Frank Lloyd",True,25,19798
2,"CINEMATOGRAPHY","M","John Seitz",False,26,19798
2,"BEST ACTRESS","F","Corinne Griffith",False,27,19798
3,"DIRECTING","M","King Vidor",False,28,19939
2,"CINEMATOGRAPHY","M","Arthur Edeson",False,29,19992
2,"DIRECTING","M","Irving Cummings",False,30,19992
2,"BEST PICTURE","M","Fox",False,31,19992
2,"BEST ACTOR","M","Warner Baxter",True,32,19992
3,"BEST PICTURE","M","Paramount Famous Lasky",False,33,20080
3,"PRODUCTION DESIGN","M","(Hans Dreier)",False,34,20080
3,"CINEMATOGRAPHY","M","(Victor Milner)",False,35,20080
3,"SOUND RECORDING","M","(Paramount Famous Lasky Studio Sound Department, Franklin Hansen, Sound Director)",False,36,20080
3,"DIRECTING","M","Ernst Lubitsch",False,37,20080
3,"PRODUCTION DESIGN","M","(Jack Okey)",False,38,20332
3,"PRODUCTION DESIGN","M","(Jack Okey)",False,39,20332
3,"BEST ACTRESS","F","Norma Shearer",False,40,20466
3,"BEST ACTRESS","F","Gloria Swanson",False,41,20492
4,"WRITING ","M","John Monk Saunders",True,42,20793
4,"WRITING ","M","John Monk Saunders",True,43,20793
4,"WRITING ","M","Rowland Brown",False,44,20821
4,"BEST ACTRESS","F","Ann Harding",False,45,20959
4,"BEST ACTRESS","F","Ann Harding",False,46,20959
4,"BEST ACTRESS","F","Ann Harding",False,47,20959
4,"BEST ACTRESS","F","Ann Harding",False,48,20959
4,"BEST ACTRESS","F","Ann Harding",False,49,20959
4,"WRITING ","M","Horace Jackson",False,50,20959
4,"WRITING ","M","Horace Jackson",False,51,20959
4,"WRITING ","M","Horace Jackson",False,52,20959
4,"WRITING ","M","Horace Jackson",False,53,20959
4,"WRITING ","M","Horace Jackson",False,54,20959
4,"PRODUCTION DESIGN","M","Stephen Goosson, Ralph Hammeras",False,55,20985
4,"WRITING ","M","Harry dAbbadie dArrast, Douglas Doty, Donald Ogden Stewart",False,56,21025
4,"BEST ACTRESS","F","Marie Dressler",True,57,21128
4,"BEST ACTRESS","F","Marlene Dietrich",False,58,21140
4,"PRODUCTION DESIGN","M","Hans Dreier",False,59,21140
4,"CINEMATOGRAPHY","M","Lee Garmes",False,60,21140
4,"DIRECTING","M","Josef Von Sternberg",False,61,21140
4,"PRODUCTION DESIGN","M","Richard Day",False,62,21525
5,"CINEMATOGRAPHY","M","Ray June",False,63,21595
5,"BEST PICTURE","M","Samuel Goldwyn Productions",False,64,21595
5,"WRITING ","M","Sidney Howard",False,65,21595
5,"PRODUCTION DESIGN","M","Richard Day",False,66,21595
5,"DIRECTING","M","Frank Borzage",True,67,21607
5,"BEST PICTURE","M","Fox",False,68,21607
5,"BEST PICTURE","M","Fox",False,69,21607
5,"DIRECTING","M","Frank Borzage",True,70,21607
5,"DIRECTING","M","Frank Borzage",True,71,21607
5,"WRITING ","M","Edwin Burke",True,72,21607
5,"WRITING ","M","Edwin Burke",True,73,21607
5,"WRITING ","M","Edwin Burke",True,74,21607
5,"BEST PICTURE","M","Fox",False,75,21607
5,"DIRECTING","M","King Vidor",False,76,21684
5,"DIRECTING","M","King Vidor",False,77,21684
5,"BEST PICTURE","M","Metro-Goldwyn-Mayer",False,78,21684
5,"BEST PICTURE","M","Metro-Goldwyn-Mayer",False,79,21684
5,"BEST ACTOR","M","Wallace Beery",True,80,21684
5,"BEST ACTOR","M","Wallace Beery",True,81,21684
5,"WRITING ","F","Frances Marion",True,82,21684
5,"WRITING ","F","Frances Marion",True,83,21684
4,"WRITING ","M","Seton I. Miller, Fred Niblo, Jr.",False,84,21756
