person_id,primary_name,birth_year,death_year,primary_profession
911111,'Babe' Agaminono,,,actor
658071,'Big Walter' Price,1914,2012,actor
533301,'Blues' McAllister,,,actor
727588,'Bud' Schelling,1919,1971,editor
511995,'Don' Manasheeh,,,camera_department
7220,'La Mueque',,,actress
664913,'Lee' George Quinones,1960,,"actor,art_department,animation_department"
1014201,'Red' Burak Kaya,,,composer
534869,'T.J.' Jimmy McClaine,,,actor
818237,'Texas' Tophands,,,actor
891520,'Weird Al' Yankovic,1959,,"soundtrack,actor,music_department"
7235,4. Stock,,,composer
7251,A-Man,,,
523396,A Martinez,1948,,"actor,writer,producer"
22116,A. Altmeyae,,,actor
38238,A. Astafev,,,"cinematographer,camera_department"
66848,A. Ben Sliman,,,actress
74719,A. Bertolotto,,,writer
84601,A. Bloch,,,costume_designer
111793,A. Brychta,,,music_department
114112,A. Bukanov,,,
916527,A. Charles,,,actor
291589,A. Gargulya,,,actor
317212,A. Gran,,,"composer,music_department"
337586,A. Hallam,,,art_department
388338,A. Iribarren,,,
233585,A. Japaridze,,,actor
412670,A. Kalinina,,,editorial_department
415840,A. Karetin,,,production_manager
416395,A. Karpak,,,actor
438422,A. Kogan,,,composer
47664,A. Michael Baldwin,1963,,"actor,producer,writer"
565211,A. Monfort,,,costume_designer
662068,A. Purtseladze,,,writer
807033,A. Randall Terraneau,1898,1971,"cinematographer,producer"
27417,A. Russell Andrews,,,"actor,producer"
721063,A. Santoni-Rugiu,,,writer
764776,A. Smoldovski,,,actor
839664,A. Vasilzhenko,,,cinematographer
849068,A. Vlasov,,,actor
457541,A. Welch Lambeth,,,"transportation_department,producer,miscellaneous"
448912,A.A. Kuhnert,,,writer
910852,A.A. Roberts,,,writer
667937,A.B. Raj,1925,2020,"director,writer,producer"
748582,A.B. Shiffrin,1902,1998,writer
826452,A.C. Tuma,,,actor
587732,A.D. Nast Jr.,,,producer
278272,A.E. Freeman,,,actor
103850,A.J. Brier,,,"actor,soundtrack"
112997,A.J. Buckley,1977,,"actor,director,writer"
125698,A.J. Camp,,,production_manager
168150,A.J. Cook,1978,,"actress,director,soundtrack"
281291,A.J. Frost,,,stunts
683593,A.J. Richards,,,actor
701589,A.J. Ross,,,actor
886281,A.J. Woods,,,transportation_department
340952,A.K. Hangal,1915,2012,actor
626409,A.K. Parmar,,,"sound_department,music_department"
415769,A.M. Karef,,,
548116,A.V.P. Menon,,,actor
882167,Aage Winther-Jørgensen,1900,1967,actor
4669,Aaliyah,1979,2001,"soundtrack,actress,composer"
545082,Aalok Mehta,1975,,"actor,composer,music_department"
427091,Aamir Khan,1965,,"actor,producer,soundtrack"
453687,Aare Laanemets,1954,2000,actor
805348,Aarin Teich,1961,,actor
456118,Aarne Laine,1916,1990,"actor,director,assistant_director"
790355,Aarno Sulkanen,1940,,"actor,soundtrack"
450407,Aaro Kurkela,1933,1989,"actor,music_department,soundtrack"
973778,Aaron Allen,,,"actor,writer,composer"
37486,Aaron Ashmore,1979,,"actor,producer"
82545,Aaron Blaise,1968,,"animation_department,director,art_department"
97037,Aaron Boyd,,,"producer,miscellaneous,director"
97986,Aaron Brace,,,actor
109870,Aaron Brownstein,,,"miscellaneous,writer,producer"
4787,Aaron Carter,1987,,"soundtrack,actor,producer"
771152,Aaron D. Spears,1971,,"actor,soundtrack,composer"
193955,Aaron Davis,,,sound_department
208524,Aaron Denney,,,"actor,miscellaneous"
222958,Aaron Douglas,,,miscellaneous
1172,Aaron Eckhart,1968,,"actor,producer,soundtrack"
252830,Aaron Falls,,,actor
265856,Aaron Fitzgerald,,,actor
1040514,Aaron Foley,,,camera_department
514755,Aaron G. Mantz,,,actor
323304,Aaron Griffin,,,"actor,cinematographer"
4152,Aaron Griffith,,,"casting_director,casting_department,executive"
363637,Aaron Hildebrand,1980,,"actor,miscellaneous"
391476,Aaron Jackson,1973,,"actor,producer,director"
411672,Aaron Kahn,,,"camera_department,miscellaneous,cinematographer"
1048560,Aaron Kaminski,,,miscellaneous
414885,Aaron Kaplan,,,"actor,director,camera_department"
1001498,Aaron Kemp,,,
441828,Aaron Korsh,,,"producer,writer,miscellaneous"
451780,Aaron Kwok,1965,,"actor,soundtrack,music_department"
463862,Aaron Latham,,,"writer,camera_department,director"
478799,Aaron Levinson,,,"sound_department,actor,producer"
600695,Aaron Norris,1951,,"producer,stunts,director"
629837,Aaron Paul,1979,,"actor,producer,soundtrack"
632772,Aaron Pedersen,1970,,"actor,producer,miscellaneous"
